ray_id,step,x,y,r,phi,dr,dphi,E,L
4,14,-99955031125.40471,-5555555555.227919,100109302488.86888,-3.08606923133869,-299330547.80169106,0.00016618787204964207,299734041.88516045,1.66551365555556e+18
5,14,-99955031125.40471,5555555555.227919,100109302488.86888,3.08606923133869,-299330547.80169106,-0.00016618787204964207,299734041.88516045,-1.66551365555556e+18
6,14,-99955031081.37267,16666666658.344198,101335018705.17683,2.9763710217653845,-295710537.6749206,-0.0004865756243135174,299285164.6648196,-4.996540966666673e+18
7,14,-99955031007.97011,27777777743.514328,103743014994.61227,2.870529789254752,-288847798.98021126,-0.0007737496604072343,298477321.29879993,-8.327568277777781e+18
8,14,-99955030926.61002,38888888809.27528,107253689355.47038,2.770549399856593,-279394384.9504295,-0.0010134953431967515,297455535.9427231,-1.1658595588888881e+19
9,14,-99955030855.87857,49999999862.26872,111763178997.4968,2.677765104382137,-268122503.78822088,-0.0012000330705450076,296371855.54086864,-1.4989622900000004e+19
0,15,-99952032893.34221,-49999999843.286156,111760497779.13652,-2.6777531037635343,-268121168.25191,0.0012000906506267244,296371855.54086864,1.4989622900000004e+19
1,15,-99952032973.8205,-38888888798.30238,107250895416.15225,-2.7705392646391402,-279393478.66490364,0.0010135481480029024,297455535.9427231,1.1658595588888881e+19
2,15,-99952033066.39288,-27777777738.79178,103740126519.1585,-2.87052205154271,-288847291.7684943,0.0007737927486140993,298477321.29879993,8.327568277777781e+18
3,15,-99952033149.9116,-16666666657.19709,101332061600.77448,-2.9763661558671473,-295710342.7952205,0.0004866040235366768,299285164.6648196,4.996540966666673e+18
4,15,-99952033200.0122,-5555555555.182757,100106309183.50284,-3.0860675694102775,-299330525.40679824,0.00016619781065372094,299734041.88516045,1.66551365555556e+18
5,15,-99952033200.0122,5555555555.182757,100106309183.50284,3.0860675694102775,-299330525.40679824,-0.00016619781065372094,299734041.88516045,-1.66551365555556e+18
6,15,-99952033149.9116,16666666657.19709,101332061600.77448,2.9763661558671473,-295710342.7952205,-0.0004866040235366768,299285164.6648196,-4.996540966666673e+18
7,15,-99952033066.39288,27777777738.79178,103740126519.1585,2.87052205154271,-288847291.7684943,-0.0007737927486140993,298477321.29879993,-8.327568277777781e+18
8,15,-99952032973.8205,38888888798.30238,107250895416.15225,2.7705392646391402,-279393478.66490364,-0.0010135481480029024,297455535.9427231,-1.1658595588888881e+19
9,15,-99952032893.34221,49999999843.286156,111760497779.13652,2.6777531037635343,-268121168.25191,-0.0012000906506267244,296371855.54086864,-1.4989622900000004e+19
0,16,-99949034928.35526,-49999999823.07766,111757816574.13205,-2.6777411025691116,-268119832.62604836,0.0012001482345659071,296371855.54086864,1.4989622900000004e+19
